review_text,word_count,rating,sentiment
Decent service,38,3,neutral
Terrible experience,25,1,negative
Lost my luggage,24,1,negative
Very rude staff,31,1,negative
Best airline ever,54,5,positive
Worst flight ever,60,2,negative
Very comfortable,27,4,positive
Terrible experience,67,2,negative
Very rude staff,62,2,negative
Very comfortable,84,4,positive
It was okay,81,3,neutral
Very comfortable,89,4,positive
Excellent service,11,4,positive
Terrible experience,93,1,negative
Worst flight ever,84,1,negative
Very comfortable,89,5,positive
Lost my luggage,33,1,negative
Very rude staff,53,1,negative
Terrible experience,40,1,negative
Terrible experience,34,2,negative
Best airline ever,89,4,positive
Best airline ever,38,4,positive
Very rude staff,57,1,negative
Excellent service,53,4,positive
Amazing flight,32,5,positive
Amazing flight,88,5,positive
Lost my luggage,7,2,negative
Very rude staff,28,2,negative
Excellent service,82,4,positive
Worst flight ever,24,2,negative
Very comfortable,12,4,positive
Decent service,22,3,neutral
Terrible experience,53,1,negative
Best airline ever,21,5,positive
Nothing special,68,3,neutral
Terrible experience,8,1,negative
Best airline ever,27,5,positive
Nothing special,54,3,neutral
Amazing flight,80,4,positive
Nothing special,38,3,neutral
Worst flight ever,54,1,negative
Best airline ever,5,5,positive
Decent service,39,3,neutral
Average experience,98,3,neutral
Best airline ever,25,5,positive
Worst flight ever,39,1,negative
Very comfortable,91,4,positive
Very rude staff,83,2,negative
Lost my luggage,27,2,negative
Best airline ever,63,5,positive
Excellent service,69,5,positive
Average experience,35,3,neutral
Amazing flight,31,5,positive
Very comfortable,91,4,positive
Excellent service,88,4,positive
Amazing flight,36,4,positive
Worst flight ever,88,1,negative
Lost my luggage,32,2,negative
Lost my luggage,26,2,negative
Worst flight ever,9,2,negative
Very comfortable,7,5,positive
Excellent service,85,4,positive
Very comfortable,66,4,positive
Excellent service,55,4,positive
Worst flight ever,79,1,negative
Very comfortable,77,4,positive
Lost my luggage,52,2,negative
Excellent service,71,4,positive
Average experience,95,3,neutral
Worst flight ever,27,1,negative
Nothing special,63,3,neutral
Amazing flight,11,5,positive
Best airline ever,55,4,positive
Lost my luggage,15,1,negative
Very rude staff,62,1,negative
Best airline ever,45,4,positive
Excellent service,51,4,positive
Terrible experience,61,1,negative
Excellent service,46,5,positive
Very comfortable,87,4,positive
Terrible experience,78,1,negative
Terrible experience,32,1,negative
Amazing flight,50,5,positive
Worst flight ever,77,1,negative
Very comfortable,73,5,positive
Very comfortable,96,5,positive
Terrible experience,87,2,negative
Very comfortable,19,5,positive
Decent service,52,3,neutral
Best airline ever,65,4,positive
Very comfortable,54,4,positive
Lost my luggage,50,2,negative
Very comfortable,57,4,positive
Average experience,31,3,neutral
Very comfortable,69,5,positive
Very comfortable,58,5,positive
Average experience,32,3,neutral
Amazing flight,8,4,positive
Average experience,17,3,neutral
Worst flight ever,64,1,negative
Amazing flight,63,5,positive
Excellent service,83,5,positive
Best airline ever,67,5,positive
Excellent service,48,4,positive
Amazing flight,16,5,positive
Excellent service,49,5,positive
