query,intent
Tell me about SkyMind,general
Can I upgrade my seat,upgrade
Refund policy,refund
When does check-in open,check_in
What is the baggage allowance,baggage
What is the baggage allowance,baggage
Online check-in process,check_in
How to get my money back,refund
Help me please,general
What is the baggage allowance,baggage
Refund policy,refund
Can I upgrade my seat,upgrade
What is the delay status,delay_info
Baggage policy,baggage
How do I book a flight,booking
Cancel my flight,cancellation
What is the weather,general
What is the weather,general
I want to cancel my ticket,cancellation
How to get my money back,refund
What is the baggage allowance,baggage
What is the weather,general
Flight delay information,delay_info
Is my flight delayed,delay_info
How to upgrade to business,upgrade
How do I book a flight,booking
How to upgrade to business,upgrade
I need a refund,refund
Help me please,general
Flight delay information,delay_info
Online check-in process,check_in
Book flight to London,booking
I want to cancel my ticket,cancellation
Book flight to London,booking
Cancel my flight,cancellation
I want to cancel my ticket,cancellation
I want to buy a ticket,booking
How to get my money back,refund
Refund policy,refund
When does check-in open,check_in
Cancel my flight,cancellation
I want to cancel my ticket,cancellation
Baggage policy,baggage
What is the baggage allowance,baggage
Is my flight delayed,delay_info
How do I check in online,check_in
What is the delay status,delay_info
How to upgrade to business,upgrade
Book flight to London,booking
Baggage policy,baggage
Baggage policy,baggage
What is the weather,general
Tell me about SkyMind,general
What is the delay status,delay_info
I need a refund,refund
What is the weather,general
What is the delay status,delay_info
Tell me about SkyMind,general
Is my flight delayed,delay_info
How do I book a flight,booking
Refund policy,refund
What is the weather,general
I want to buy a ticket,booking
I want to cancel my ticket,cancellation
Book flight to London,booking
Cancel my flight,cancellation
Is my flight delayed,delay_info
How to cancel booking,cancellation
I need a refund,refund
How to cancel booking,cancellation
How do I check in online,check_in
How to cancel booking,cancellation
Online check-in process,check_in
How much luggage can I bring,baggage
How much luggage can I bring,baggage
I need a refund,refund
How to upgrade to business,upgrade
Is my flight delayed,delay_info
How do I check in online,check_in
When does check-in open,check_in
Flight delay information,delay_info
Baggage policy,baggage
Help me please,general
Is my flight delayed,delay_info
Can I upgrade my seat,upgrade
How do I book a flight,booking
How to get my money back,refund
Can I upgrade my seat,upgrade
How much luggage can I bring,baggage
Seat upgrade options,upgrade
When does check-in open,check_in
Seat upgrade options,upgrade
What is the delay status,delay_info
How much luggage can I bring,baggage
Refund policy,refund
How to get my money back,refund
Seat upgrade options,upgrade
I need a refund,refund
How to get my money back,refund
How to upgrade to business,upgrade
Online check-in process,check_in
How to get my money back,refund
How to upgrade to business,upgrade
Tell me about SkyMind,general
Cancel my flight,cancellation
What is the delay status,delay_info
How to get my money back,refund
Help me please,general
Flight delay information,delay_info
Help me please,general
How much luggage can I bring,baggage
Can I upgrade my seat,upgrade
How to upgrade to business,upgrade
What is the weather,general
What is the baggage allowance,baggage
What is the delay status,delay_info
Seat upgrade options,upgrade
How to get my money back,refund
Flight delay information,delay_info
Online check-in process,check_in
I need a refund,refund
Seat upgrade options,upgrade
I want to cancel my ticket,cancellation
I want to cancel my ticket,cancellation
What is the weather,general
Seat upgrade options,upgrade
Help me please,general
What is the weather,general
Tell me about SkyMind,general
Baggage policy,baggage
Is my flight delayed,delay_info
Online check-in process,check_in
I need a refund,refund
Book flight to London,booking
Seat upgrade options,upgrade
Help me please,general
Tell me about SkyMind,general
How do I book a flight,booking
How to upgrade to business,upgrade
Baggage policy,baggage
What is the delay status,delay_info
Tell me about SkyMind,general
What is the delay status,delay_info
I need a refund,refund
How much luggage can I bring,baggage
Cancel my flight,cancellation
Book flight to London,booking
What is the baggage allowance,baggage
How do I check in online,check_in
How to get my money back,refund
How to cancel booking,cancellation
Help me please,general
I want to cancel my ticket,cancellation
I need a refund,refund
Flight delay information,delay_info
Online check-in process,check_in
How do I book a flight,booking
Can I upgrade my seat,upgrade
Is my flight delayed,delay_info
Baggage policy,baggage
When does check-in open,check_in
Help me please,general
Can I upgrade my seat,upgrade
How to cancel booking,cancellation
I want to buy a ticket,booking
When does check-in open,check_in
Is my flight delayed,delay_info
How to upgrade to business,upgrade
Online check-in process,check_in
Refund policy,refund
When does check-in open,check_in
Seat upgrade options,upgrade
Can I upgrade my seat,upgrade
I want to buy a ticket,booking
What is the weather,general
What is the weather,general
Book flight to London,booking
Refund policy,refund
How do I book a flight,booking
How do I book a flight,booking
Flight delay information,delay_info
What is the delay status,delay_info
Seat upgrade options,upgrade
Help me please,general
How to cancel booking,cancellation
Refund policy,refund
What is the delay status,delay_info
I want to buy a ticket,booking
How do I check in online,check_in
I need a refund,refund
Seat upgrade options,upgrade
How to get my money back,refund
Baggage policy,baggage
What is the delay status,delay_info
I need a refund,refund
How do I check in online,check_in
Help me please,general
I want to cancel my ticket,cancellation
Baggage policy,baggage
Can I upgrade my seat,upgrade
Cancel my flight,cancellation
Flight delay information,delay_info
Online check-in process,check_in
Is my flight delayed,delay_info
Flight delay information,delay_info
Flight delay information,delay_info
Flight delay information,delay_info
Baggage policy,baggage
Is my flight delayed,delay_info
I want to buy a ticket,booking
What is the delay status,delay_info
What is the weather,general
Flight delay information,delay_info
Book flight to London,booking
Flight delay information,delay_info
What is the weather,general
What is the baggage allowance,baggage
Refund policy,refund
Seat upgrade options,upgrade
I want to buy a ticket,booking
How to cancel booking,cancellation
How do I book a flight,booking
Flight delay information,delay_info
I want to cancel my ticket,cancellation
Help me please,general
What is the weather,general
I want to buy a ticket,booking
Tell me about SkyMind,general
Help me please,general
Seat upgrade options,upgrade
